YEARS	CO2_RCP26	CO2_RCP45	CO2_RCP6	CO2_RCP85
1765.00	278.05	278.05	278.05	278.05
1766.00	278.11	278.11	278.11	278.11
1767.00	278.22	278.22	278.22	278.22
1768.00	278.34	278.34	278.34	278.34
1769.00	278.47	278.47	278.47	278.47
1770.00	278.60	278.60	278.60	278.60
1771.00	278.73	278.73	278.73	278.73
1772.00	278.87	278.87	278.87	278.87
1773.00	279.01	279.01	279.01	279.01
1774.00	279.15	279.15	279.15	279.15
1775.00	279.30	279.30	279.30	279.30
1776.00	279.46	279.46	279.46	279.46
1777.00	279.62	279.62	279.62	279.62
1778.00	279.78	279.78	279.78	279.78
1779.00	279.94	279.94	279.94	279.94
1780.00	280.10	280.10	280.10	280.10
1781.00	280.24	280.24	280.24	280.24
1782.00	280.38	280.38	280.38	280.38
1783.00	280.52	280.52	280.52	280.52
1784.00	280.66	280.66	280.66	280.66
1785.00	280.80	280.80	280.80	280.80
1786.00	280.96	280.96	280.96	280.96
1787.00	281.12	281.12	281.12	281.12
1788.00	281.28	281.28	281.28	281.28
1789.00	281.44	281.44	281.44	281.44
1790.00	281.60	281.60	281.60	281.60
1791.00	281.75	281.75	281.75	281.75
1792.00	281.89	281.89	281.89	281.89
1793.00	282.03	282.03	282.03	282.03
1794.00	282.17	282.17	282.17	282.17
1795.00	282.30	282.30	282.30	282.30
1796.00	282.43	282.43	282.43	282.43
1797.00	282.55	282.55	282.55	282.55
1798.00	282.67	282.67	282.67	282.67
1799.00	282.79	282.79	282.79	282.79
1800.00	282.90	282.90	282.90	282.90
1801.00	283.01	283.01	283.01	283.01
1802.00	283.11	283.11	283.11	283.11
1803.00	283.21	283.21	283.21	283.21
1804.00	283.31	283.31	283.31	283.31
1805.00	283.40	283.40	283.40	283.40
1806.00	283.49	283.49	283.49	283.49
1807.00	283.58	283.58	283.58	283.58
1808.00	283.66	283.66	283.66	283.66
1809.00	283.74	283.74	283.74	283.74
1810.00	283.80	283.80	283.80	283.80
1811.00	283.85	283.85	283.85	283.85
1812.00	283.89	283.89	283.89	283.89
1813.00	283.93	283.93	283.93	283.93
1814.00	283.96	283.96	283.96	283.96
1815.00	284.00	284.00	284.00	284.00
1816.00	284.04	284.04	284.04	284.04
1817.00	284.09	284.09	284.09	284.09
1818.00	284.13	284.13	284.13	284.13
1819.00	284.17	284.17	284.17	284.17
1820.00	284.20	284.20	284.20	284.20
1821.00	284.22	284.22	284.22	284.22
1822.00	284.24	284.24	284.24	284.24
1823.00	284.26	284.26	284.26	284.26
1824.00	284.28	284.28	284.28	284.28
1825.00	284.30	284.30	284.30	284.30
1826.00	284.32	284.32	284.32	284.32
1827.00	284.34	284.34	284.34	284.34
