	T_WMa	T_EMa	T_Lev	T_Ana	T_CMed	T_Ibe	T_Fra	T_Alp	T_Balk	T_Narb	P_WMa	P_EMa	P_Lev	P_Ana	P_CMed	P_Ibe	P_Fra	P_Alp	P_Balk	P_Narb
4200	0.14	0.14	0.02	-0.48	-0.26	0.26	0.62	0.26	-0.6	0.62	48.4	48.4	-80	-88.7	29.94	40.83	18.11	51.92	42.84	18.11
3200	-0.08	-0.08	-0.15	-0.04	-0.08	-0.02	0.16	0.05	-0.2	0.16	-6.84	-6.84	-33	-50.04	4.11	5.13	41.03	34.74	2.82	41.03
2500	0.24	0.24	0.13	-0.12	-0.2	-0.13	-1.22	-1	-1	-1.22	61.33	61.33	-34.03	-14.8	25.58	43.78	-8.9	35.35	3.02	-8.9
2000	0.04	0.04	0.18	0.18	0.5	0.5	0.8	0.5	-0.02	0.5	-11.18	-11.18	4.23	10.3	34.61	-2.78	22.4	47.35	10.2	22.4
1300	0.03	0.03	-0.14	0.09	-0.25	-0.2	-0.43	-0.43	-0.68	-0.43	20.41	20.41	-11.98	-5.78	67.64	27.34	48.13	94.55	36.31	48.13
1000	-0.07	-0.07	-0.17	-0.07	0.07	0.09	0.54	0.41	-0.25	0.54	-8.72	-8.72	-24.36	-26.77	40.28	-0.45	24.36	51	39.21	24.36
700	-0.07	-0.07	-0.25	0.27	0.09	-0.5	-0.8	-0.8	0.25	-0.8	37.51	37.51	-37.45	-7.43	1.94	25.73	-9.59	16.18	-29.73	-9.59
200	-0.3	-0.3	-0.33	-0.15	-0.3	-0.3	-0.5	-0.5	-0.5	-0.5	68.77	68.77	-37.65	-3.47	-2.94	63.72	48.56	21.99	-12.64	48.56
Present	1.4	1.3	1.2	1.4	1.4	1	1.2	1.5	1.5	1.2	-40	-20	-20	0	-40	-40	-50	0	0	-20
+1.5C NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA
+2C NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA
+3C NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA
+5C NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA
+5CV+ NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA
+5CV- NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA  NA  NA  NA  NA NA  NA  NA  NA
