1010-190 : Law Dome 
https://cdiac.ess-dive.lbl.gov/trends/co2/lawdome.html
Age	CO2
1000	279.5
1010	279.5
1015	279.6
1020	279.7
1025	279.8
1030	279.9
1035	280
1040	280.2
1045	280.3
1050	280.5
1055	280.7
1060	280.9
1065	281.1
1070	281.3
1075	281.5
1080	281.7
1085	281.9
1090	282.1
1095	282.3
1100	282.5
1105	282.7
1110	282.9
1115	283
1120	283.2
1125	283.3
1130	283.5
1135	283.6
1140	283.7
1145	283.8
1150	283.9
1155	284
1160	284
1165	284.1
1170	284.1
1175	284.1
1180	284
1185	284
1190	283.9
1195	283.8
1200	283.6
1205	283.4
1210	283.2
1215	283
1220	282.8
1225	282.5
1230	282.3
1235	282.2
1240	282
1245	281.9
1250	281.9
1255	281.9
1260	282
1265	282.1
1270	282.2
1275	282.3
1280	282.5
1285	282.6
1290	282.8
1295	282.9
1300	283
1305	283.1
1310	283.2
1315	283.3
1320	283.3
1325	283.2
1330	283.1
1335	282.9
1340	282.7
1345	282.4
1350	282.1
1355	281.8
1360	281.5
1365	281.2
1370	281
1375	280.7
1380	280.5
1385	280.4
1390	280.3
1395	280.3
1400	280.3
1405	280.4
1410	280.5
1415	280.6
1420	280.7
1425	280.8
1430	280.9
1435	280.9
1440	280.9
1445	280.9
1450	280.8
1455	280.7
1460	280.6
1465	280.6
1470	280.6
1475	280.8
1480	281
1485	281.3
1490	281.6
1495	281.9
1500	282.2
1505	282.5
1510	282.7
1515	282.9
1520	283.1
1525	283.2
1530	283.2
1535	283.2
1540	283.1
1545	283
1550	282.8
1555	282.6
1560	282.2
1565	281.8
1570	281.2
1575	280.5
1580	279.7
1585	278.8
1590	278
1595	277.1
1600	276.4
1605	275.8
1610	275.5
1615	275.3
1620	275.3
1625	275.4
1630	275.6
1635	275.9
1640	276.1
1645	276.3
1650	276.4
1655	276.5
1660	276.5
1665	276.5
1670	276.4
1675	276.4
1680	276.4
1685	276.4
1690	276.5
1695	276.6
1700	276.7
1705	276.8
1710	276.9
1715	277
1720	277
1725	277
1730	277
1735	276.9
1740	276.9
1745	276.9
1750	277
1755	277.2
1760	277.6
1765	278
1770	278.6
1775	279.3
1780	280.1
1785	280.8
1790	281.6
1795	282.3
1800	282.9
1805	283.4
1810	283.8
1815	284
1820	284.2
1825	284.3
1830	284.4
1832	284.3
1833	284.1
1834	284
1835	283.8
1836	283.7
1837	283.5
1838	283.4
1839	283.4
1840	283.4
1841	283.4
1842	283.5
1843	283.6
1844	283.7
1845	283.9
1846	284.1
1847	284.2
1848	284.4
1849	284.6
1850	284.7
1851	284.9
1852	285
1853	285.1
1854	285.3
1855	285.4
1856	285.6
1857	285.7
1858	285.9
1859	286.1
1860	286.2
1861	286.4
1862	286.5
1863	286.6
1864	286.8
1865	286.9
1866	287
1867	287.1
1868	287.2
1869	287.4
1870	287.5
1871	287.7
1872	287.9
1873	288.1
1874	288.4
1875	288.7
1876	289
1877	289.4
1878	289.8
1879	290.2
1880	290.7
1881	291.2
1882	291.7
1883	292.1
1884	292.6
1885	293
1886	293.3
1887	293.6
1888	293.8
1889	294
1890	294.2
1891	294.3
1892	294.5
1893	294.6
1894	294.7
1895	294.8
1896	294.9
1897	295
1898	295.2
1899	295.5
1900	295.8
1901	296.1
1902	296.5
1903	296.8
1904	297.2
1905	297.6
1906	298.1
1907	298.5
1908	298.9
1909	299.3
1910	299.7
1911	300.1
1912	300.4
1913	300.8
1914	301.1
1915	301.4
1916	301.7
1917	302.1
1918	302.4
1919	302.7
1920	303
1921	303.4
1922	303.8
1923	304.1
1924	304.5
1925	305
1926	305.4
1927	305.8
1928	306.3
1929	306.8
1930	307.2
1931	307.7
1932	308.2
1933	308.6
1934	309
1935	309.4
1936	309.8
1937	310
1938	310.2
1939	310.3
1940	310.4
1941	310.4
1942	310.3
1943	310.2
1944	310.1
1945	310.1
1946	310.1
1947	310.2
1948	310.3
1949	310.5
1950	310.7
1951	311.1
1952	311.5
1953	311.93
1954	312.43
1955	313
1956	313.6
1957	314.23
1958	314.85
1959	315.5
1960	316.27
1961	317.08
1962	317.8
1963	318.4
1964	318.93
1965	319.65
1966	320.65
1967	321.61
1968	322.64
1969	323.9
1970	324.99
1971	325.86
1972	327.14
1973	328.68
1974	329.74
1975	330.59
1976	331.75
1977	333.27
1978	334.85
1979	336.53
1980	338.36
1981	339.73
1982	340.79
1983	342.2
1984	343.78
1985	345.28
1986	346.8
1987	348.65
1988	350.74
1989	352.49
1990	353.86
1991	355.02
1992	355.89
1993	356.78
1994	358.13
1995	359.84
1996	361.46
1997	363.16
1998	365.32
1999	367.35
2000	368.87
2001	370.47
2002	372.52
2003	374.76
2004	376.81
2005	378.81
2006	380.83
2007	382.78
2008	384.8
