	CO2	CH4	N2O	Ecc	Obl	Omega	POP	Volc	dVolc Solar dSolar
4200	280	650	270	0.0181	23.9	34	 64138	0.2 0.2	200 200
3200	280	650	270	0.0178	23.8	45	101664	0.2 0.2	200 200
2500	280	650	270	0.0175	23.75	65	146283	0.6 0.2	270 200
2000	280	650	270	0.0175	23.7	68	188239	0.2 0.2	400 300
1300	280	650	270	0.0174	23.65	75	218535	0.6 0.2	270 200
1000	280	650	270	0.0173	23.65	75	295040	0.2 0.2	400 300
 700	280	650	270	0.0175	23.5	90	396811	0.6 0.2	270 200
 200	280	650	270	0.0169  23.4	95	813664	0.6 0.2	270 200
Present  400 1730  330 0.0167  23.45 102 7500000 0.2  0.2 600 300
+1.5C	440	1527	339	0.0167	23.45	102	8800000	0.2	0.2 270 200
+2C	487	1833	350	0.0167	23.45	102	8900000	0.2	0.2 270 200
+3C	603	3076	381	0.0167	23.45	102	10700000	0.2	0.2 270 200
+5C	900	3700	430	0.0167	23.45	102	12050000	0.2	0.2 270 200
+5CV+	900	3700	430	0.0167	23.45	102	12050000	0.8	0.2 100 200
+5CV-	900	3700	430	0.0167	23.45	102	12050000	0.1	0.2 700 200
