	CO2	CH4	N2O	Ecc	Obl	Omega	POP	Volc	Solar
-21ka	185	350	200	0.019	23.4	-213	2000	0.3	270
-6ka	280	650	270	0.0187	24.1	-27	27731	0.3	270
-2.5ka	280	650	270	0.0175	23.7	60	150332	0.4 300
-2ka	280	650	270	0.0175	23.7	68	188239	0.2	500
1816	280	650	270	0.0167	23.45	100	1061730	0.50	400
1900	280	650	270	0.0167	23.45	102	1654000	0.2	270
2019	410	1730	330	0.0167	23.45	102	7500000	0.2	400
+1.5C	443	1730	330	0.0167	23.45	102	8200000	0.2	270
+2C	490	1800	350	0.0167	23.45	102	8200000	0.2	270
+3C	540	1900	370	0.0167	23.45	102	8200000	0.2	270
+5C	935	3750	435	0.0167	23.45	102	12300000	0.2	270
