Long	Lati	alti
BT_X	-168.25	53.25	93
AVA_	-166.75	65.75	120
BSA_	-166.75	53.75	350
BFA_	-166.75	60.25	57
AWA_	-166.75	65.25	33
AVAA	-166.25	65.75	180
AXAA	-166.25	64.75	137
BFAA	-166.25	60.25	110
AWAA	-166.25	65.25	153
AQAB	-165.75	68.25	143
AWAB	-165.75	65.25	47
AUAB	-165.75	66.25	0
BFAB	-165.75	60.25	33
APAB	-165.75	68.75	130
AXAB	-165.75	64.75	237
AVAB	-165.75	65.75	207
BDAB	-165.75	61.25	10
BCAB	-165.75	61.75	80
AVAC	-165.25	65.75	247
AWAC	-165.25	65.25	123
APAC	-165.25	68.75	117
BDAC	-165.25	61.25	30
AQAC	-165.25	68.25	147
BBAC	-165.25	62.25	0
AUAC	-165.25	66.25	27
BCAC	-165.25	61.75	80
AXAC	-165.25	64.75	297
APAD	-164.75	68.75	140
AWAD	-164.75	65.25	97
ARAD	-164.75	67.75	43
BBAD	-164.75	62.25	40
AVAD	-164.75	65.75	263
BCAD	-164.75	61.75	77
AUAD	-164.75	66.25	73
BAAD	-164.75	62.75	27
AQAD	-164.75	68.25	203
BFAD	-164.75	60.25	23
BEAD	-164.75	60.75	127
AXAD	-164.75	64.75	200
BDAD	-164.75	61.25	47
AQAE	-164.25	68.25	270
BDAE	-164.25	61.25	63
APAE	-164.25	68.75	180
BCAE	-164.25	61.75	60
ARAE	-164.25	67.75	80
BEAE	-164.25	60.75	37
AVAE	-164.25	65.75	197
BAAE	-164.25	62.75	60
AUAE	-164.25	66.25	47
B_AE	-164.25	63.25	27
BQAE	-164.25	54.75	110
AWAE	-164.25	65.25	153
AXAE	-164.25	64.75	193
BFAE	-164.25	60.25	40
BBAE	-164.25	62.25	67
ARAF	-163.75	67.75	157
BBAF	-163.75	62.25	80
AVAF	-163.75	65.75	177
BCAF	-163.75	61.75	60
ASAF	-163.75	67.25	37
BEAF	-163.75	60.75	23
AQAF	-163.75	68.25	393
AXAF	-163.75	64.75	123
APAF	-163.75	68.75	297
B_AF	-163.75	63.25	20
BQAF	-163.75	54.75	277
BDAF	-163.75	61.25	60
BAAF	-163.75	62.75	60
